"","year","ShrimpArea","cpueAllLb","cpueLrgLb"
"1",1992,"1",0.86036577255814,0.829900487669767
"2",1992,"2",0.619363586717557,0.423504994455114
"3",1992,"3",0.788446160305343,0.663387003989466
"4",1993,"1",0.689789708837209,0.664471442595349
"5",1993,"2",0.475417823692308,0.301794807122769
"6",1993,"3",0.211495310252101,0.145478075509412
"7",1994,"1",0.39753307,0.283702276275
"8",1994,"2",0.41196331,0.17687786512
"9",1994,"3",0.484771442222222,0.208539170082222
"10",1995,"1",0.6684007,0.468633217415
"11",1995,"2",0.609831809230769,0.301621032190923
"12",1995,"3",0.65146521,0.419230656111667
"13",1996,"1",0.57841212,0
"14",1996,"2",0.530455132824427,0
"15",1996,"3",0.435706960305344,0
"16",1997,"1",0.50335483,0.44972594535
"17",1997,"2",0.400483001875,0.174308021946094
"18",1997,"3",0.371419567938931,0.193898617765802
"19",1998,"1",0.21655381,0.175038260045
"20",1998,"2",0.37989611,0.160426255806667
"21",1998,"3",0.1909752075,0.1057310950025
"22",1999,"1",0.22507166,0.137374531965
"23",1999,"2",0.730034475076923,0.324074561173846
"24",1999,"3",0.373999256434108,0.194480467849612
"25",2000,"1",0.39653097,0.30199766608
"26",2000,"2",0.773736826923077,0.414216554975385
"27",2000,"3",0.754097844122137,0.438261576352214
"28",2001,"1",1.14119148,0.990935954635
"29",2001,"2",1.18707848045802,0.845020193141527
"30",2001,"3",0.638254191666667,0.433946845346667
"31",2002,"1",0.768460385,0.529007938635
"32",2002,"2",1.99448040682171,1.27739545157519
"33",2002,"3",0.653156540610687,0.452616412534504
"34",2003,"1",0.61188226,0.40210895923
"35",2003,"2",1.74776261,1.25802368013667
"36",2003,"3",0.725203068333333,0.552482448466667
"37",2004,"1",3.116781525,2.10372035478
"38",2004,"2",1.82084910333333,0.960204069586667
"39",2004,"3",0.74616366,0.49250669666
"40",2005,"1",1.65566962,1.22040487954
"41",2005,"2",1.92241193833333,0.708941089743333
"42",2005,"3",0.929874798769231,0.458048725022308
"43",2006,"1",2.84553447608048,2.37044353777524
"44",2006,"2",1.84436501659667,0.845879891926667
"45",2006,"3",1.28775244227215,0.470466145420615
"46",2007,"1",3.5796876372093,2.77925158821814
"47",2007,"2",3.22867437092183,0.857824945855572
"48",2007,"3",1.82866546663167,0.944094694125
"49",2008,"1",3.458667931895,2.772688894745
"50",2008,"2",3.16689485913167,0.902539694833333
"51",2008,"3",2.31779272039221,1.00880959191343
"52",2009,"1",4.9036811505,3.70410772534
"53",2009,"2",2.665417296465,1.42411529159167
"54",2009,"3",1.74585357609667,1.064218926375
"55",2010,"1",2.879163522895,2.41815768942
"56",2010,"2",1.63275339215492,1.27116004818677
"57",2010,"3",0.766350931096667,0.598201173258333
"58",2011,"1",6.26470966500884,5.66093371817395
"59",2011,"2",2.18812738924244,1.7792044414629
"60",2011,"3",0.607439583263333,0.480149784858333
"61",2012,"1",6.73862145,6.60013393567
"62",2012,"2",2.3216869968276,1.4605741315307
"63",2012,"3",1.11543672820901,0.646954237725954
"64",2013,"1",4.2908057627907,3.92905997230744
"65",2013,"2",2.54709336172626,1.48058526297252
"66",2013,"3",1.3530644548913,1.06607345203053
"67",2014,"1",4.1637255,3.949486390685
"68",2014,"2",2.73440196641221,1.61601527152244
"69",2014,"3",1.02839632793893,0.85397773249313
"70",2015,"1",2.8339388,2.762865007815
"71",2015,"2",2.4836474778626,1.26653665401496
"72",2015,"3",0.463638266666667,0.329415606428333
"73",2016,"1",5.99215716,5.409148377237
"74",2016,"2",4.11896503333333,2.43920773521333
"75",2016,"3",1.16624398,0.617783540051333
"76",2017,"1",4.74103531,3.504740411348
"77",2017,"2",6.82236473898305,2.13733454920271
"78",2017,"3",2.56066613,1.13539752485867
