"Year","SITE_ID","STATION","EVENT_ID","POT_ID","SAMPLE_POT","totWt","Prop_Lg_by_Wt","lrgWt","totCt","Prop_Lg_by_Ct","lrgCt"
"1992","3","A","1992P04009","5","Sample","0.01","0.602893268736021","6.02893268736021E-03","1","0.398333333333333","0.398333333333333"
"1992","3","A","1992P04009","6","Sample","0.36","0.602893268736021","0.217041576744968","21","0.398333333333333","8.36499999999999"
"1992","3","A","1992P04009","7","Sample","0.328","0.602893268736021","0.197748992145415","15","0.398333333333333","5.97499999999999"
"1992","3","A","1992P04009","8","Sample","0.065","0.602893268736021","3.91880624678414E-02","3","0.398333333333333","1.195"
"1992","3","A","1992P04009","9","Sample","0.285","0.602893268736021","0.171824581589766","15","0.398333333333333","5.97499999999999"
"1992","3","B","1992P04010","1","Sample","0.543","0.602893268736021","0.327371044923659","20","0.398333333333333","7.96666666666666"
"1992","3","B","1992P04010","10","Sample","0.48","0.602893268736021","0.28938876899329","27","0.398333333333333","10.755"
"1992","3","B","1992P04010","11","Sample","0.135","0.602893268736021","8.13905912793628E-02","10","0.398333333333333","3.98333333333333"
"1992","3","B","1992P04010","2","Sample","0.566","0.602893268736021","0.341237590104588","25","0.398333333333333","9.95833333333333"
"1992","3","B","1992P04010","3","Sample","0.195","0.602893268736021","0.117564187403524","9","0.398333333333333","3.585"
"1992","3","B","1992P04010","4","Sample","0.256","0.602893268736021","0.154340676796421","15","0.398333333333333","5.97499999999999"
"1992","3","B","1992P04010","5","Sample","0.602","0.602893268736021","0.362941747779085","39","0.398333333333333","15.535"
"1992","3","B","1992P04010","6","Sample","0.528","0.602893268736021","0.318327645892619","26","0.398333333333333","10.3566666666667"
"1992","3","B","1992P04010","7","Sample","0.329","0.602893268736021","0.198351885414151","26","0.398333333333333","10.3566666666667"
"1992","3","B","1992P04010","8","Sample","0.786","0.602893268736021","0.473874109226513","50","0.398333333333333","19.9166666666667"
"1992","3","B","1992P04010","9","Sample","0.608","0.602893268736021","0.366559107391501","34","0.398333333333333","13.5433333333333"
"1992","3","C","1992P04011","1","Sample","0.144","0.602893268736021","0.086816630697987","7","0.398333333333333","2.78833333333333"
"1992","3","C","1992P04011","10","Sample","0.239","0.602893268736021","0.144091491227909","12","0.398333333333333","4.78"
"1992","3","C","1992P04011","11","Sample","0","0.602893268736021","0","0","0.398333333333333","0"
"1992","3","C","1992P04011","2","Sample","0.052","0.602893268736021","3.13504499742731E-02","3","0.398333333333333","1.195"
"1992","3","C","1992P04011","3","Sample","0","0.602893268736021","0","0","0.398333333333333","0"
"1992","3","C","1992P04011","4","Sample","0.122","0.602893268736021","7.35529787857946E-02","6","0.398333333333333","2.39"
"1992","3","C","1992P04011","5","Sample","0.119","0.602893268736021","7.17442989795865E-02","7","0.398333333333333","2.78833333333333"
"1992","3","C","1992P04011","6","Sample","0.131","0.602893268736021","7.89790182044188E-02","6","0.398333333333333","2.39"
"1992","3","C","1992P04011","7","Sample","0.29","0.602893268736021","0.174839047933446","17","0.398333333333333","6.77166666666666"
"1992","3","C","1992P04011","8","Sample","0.492","0.602893268736021","0.296623488218122","28","0.398333333333333","11.1533333333333"
"1992","3","C","1992P04011","9","Sample","0.06","0.602893268736021","3.61735961241613E-02","3","0.398333333333333","1.195"
"1992","3","D","1992P04012","1","Sample","0.146","0.602893268736021","8.80224172354591E-02","6","0.398333333333333","2.39"
